epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7592,1.4765,3.35625,1.83433,0.00317,0.98592,0.23228,0.14509,0.82847,3.86521,1.42607,6.668e-05,6.668e-05,6.668e-05
2,159.943,1.08265,3.09308,1.4966,0.00346,0.94366,0.32906,0.18541,0.85133,3.83769,1.43782,0.000144089,0.000144089,0.000144089
3,236.688,1.15754,2.61025,1.55674,0.00445,0.98592,0.64293,0.32459,0.78602,3.5403,1.32778,0.000214896,0.000214896,0.000214896
4,297.404,1.00571,1.89841,1.43447,0.00438,0.98592,0.65382,0.31141,0.87797,3.43131,1.37852,0.000279102,0.000279102,0.000279102
5,352.325,1.05294,1.84195,1.45361,0.00401,0.98592,0.50999,0.34501,0.72738,3.22519,1.26853,0.000336707,0.000336707,0.000336707
6,416.88,0.95296,1.83778,1.37676,0.9819,0.18756,0.46691,0.3081,0.79035,3.12052,1.36648,0.000387711,0.000387711,0.000387711
7,476.665,0.94113,1.89664,1.38303,0.9826,0.19533,0.46458,0.31979,0.84886,3.15323,1.4211,0.000432113,0.000432113,0.000432113
8,529.759,0.95698,1.68091,1.28591,0.98219,0.38135,0.48061,0.33986,0.89719,2.81981,1.5316,0.000469914,0.000469914,0.000469914
9,588.094,0.86785,1.58774,1.32086,0.90886,0.44231,0.4929,0.34511,0.83807,2.66511,1.5141,0.000501114,0.000501114,0.000501114
10,650.567,0.8888,1.51014,1.29236,0.944,0.34507,0.4661,0.33932,0.8327,3.03564,1.44148,0.000525712,0.000525712,0.000525712
11,706.713,0.83075,1.60833,1.28075,0.90648,0.39795,0.45893,0.30563,0.92397,3.16634,1.52762,0.000543709,0.000543709,0.000543709
12,760.404,0.89726,1.39693,1.29027,0.90424,0.38648,0.46717,0.34123,0.83345,2.81507,1.42348,0.000555104,0.000555104,0.000555104
13,821.763,0.84527,1.46176,1.27294,0.88513,0.37782,0.50524,0.34024,0.8751,2.55117,1.53464,0.000559899,0.000559899,0.000559899
14,886.891,0.79702,1.35377,1.29166,0.90504,0.34507,0.75802,0.43226,0.93554,2.7926,1.60319,0.000558092,0.000558092,0.000558092
15,953.931,0.79306,1.46485,1.24102,0.79357,0.41549,0.8013,0.51396,0.81786,2.66444,1.43459,0.000549683,0.000549683,0.000549683
16,1019.34,0.59245,1.66154,1.15237,0.90717,0.40845,0.86485,0.61626,0.75974,2.70623,1.31727,0.000534674,0.000534674,0.000534674
17,1100.77,0.6397,1.69093,1.20082,0.89084,0.29577,0.65679,0.40346,1.00549,2.87499,1.65328,0.000513063,0.000513063,0.000513063
18,1157.81,0.52461,1.58634,1.02489,0.75173,0.40141,0.71715,0.44686,1.03205,2.88606,1.72709,0.00048485,0.00048485,0.00048485
19,1218.13,0.51284,1.49856,1.02371,0.82348,0.41549,0.7946,0.56654,0.8269,2.56512,1.45033,0.000450037,0.000450037,0.000450037
20,1270.11,0.52451,1.48894,1.05541,0.85909,0.7007,0.8823,0.74261,0.57943,1.87231,1.16547,0.000408622,0.000408622,0.000408622
21,1324.57,0.49861,1.40044,1.05879,0.87329,0.94816,0.97714,0.8323,0.56651,1.69506,1.17659,0.000346736,0.000346736,0.000346736
22,1387.46,0.49247,1.37593,1.02121,0.90471,0.96045,0.98051,0.80081,0.57671,1.60935,1.20008,0.000280723,0.000280723,0.000280723
23,1451.46,0.4575,1.32745,1.01716,0.94627,0.9692,0.9835,0.8176,0.53239,1.47713,1.12482,0.00021471,0.00021471,0.00021471
24,1504.94,0.4081,1.3037,0.97227,0.9774,0.97452,0.98503,0.82716,0.40716,1.34142,0.97714,0.000148696,0.000148696,0.000148696
25,1560.7,0.44318,1.31011,0.97395,0.98121,0.97609,0.98503,0.83434,0.3885,1.32082,0.96147,8.26832e-05,8.26832e-05,8.26832e-05
